first_name,last_name
Sam,Worthington
Zoe,Saldana
Sigourney,Weaver
Leonardo,"Di Caprio"
Kate,Winslet
Billy,Zane
Mark,Hamill
Harrison,Ford
Carrie,Fisher
Sam,Neill
